reporting_airport,route,pax_current,pax_growth_pct
BIRMINGHAM,STANSTED,210,-44.88189
BOURNEMOUTH,BIRMINGHAM,368,0
BOURNEMOUTH,BLACKPOOL,46,-77.99043
BOURNEMOUTH,CARDIFF WALES,47,-56.48148
BOURNEMOUTH,DONCASTER SHEFFIELD,0,-100
BOURNEMOUTH,EAST MIDLANDS INTERNATIONAL,343,141.5493
BOURNEMOUTH,EDINBURGH,48192,126721.0526
BOURNEMOUTH,GATWICK,689,124.42997
BOURNEMOUTH,HUMBERSIDE,0,-100
BOURNEMOUTH,LEEDS BRADFORD,101,9.78261
BOURNEMOUTH,LIVERPOOL (JOHN LENNON),267,184.04255
BOURNEMOUTH,MANCHESTER,340,100
BOURNEMOUTH,NEWCASTLE,0,-100
BOURNEMOUTH,TEESSIDE INTERNATIONAL AIRPORT,0,-100
BRISTOL,ABERDEEN,16344,4.94414
BRISTOL,BELFAST CITY (GEORGE BEST),44215,300.09954
BRISTOL,BELFAST INTERNATIONAL,269385,7.21535
BRISTOL,BIRMINGHAM,23,-94.60094
BRISTOL,CARDIFF WALES,538,860.71429
BRISTOL,EAST MIDLANDS INTERNATIONAL,18,-81.63265
BRISTOL,EDINBURGH,422825,42.54915
BRISTOL,EXETER,822,153.7037
BRISTOL,GATWICK,712,11766.66667
BRISTOL,GLASGOW,295945,1.81758
BRISTOL,GUERNSEY,25750,8.37086
BRISTOL,INVERNESS,83762,22.74619
BRISTOL,ISLE OF MAN,27238,-12.04469
BRISTOL,JERSEY,35908,-1.83439
BRISTOL,LEEDS BRADFORD,10,0
BRISTOL,LIVERPOOL (JOHN LENNON),0,-100
BRISTOL,MANCHESTER,246,192.85714
BRISTOL,NEWCASTLE,143216,14.32403
BRISTOL,NEWQUAY,93,0
BRISTOL,NORWICH,114,225.71429
BRISTOL,STANSTED,186,111.36364
BRISTOL,TEESSIDE INTERNATIONAL AIRPORT,72,1.40845
CAMPBELTOWN,GLASGOW,7004,22.68348
CAMPBELTOWN,ISLAY,2,-96
CAMPBELTOWN,TIREE,66,94.11765
CARDIFF WALES,ABERDEEN,1,-96.2963
CARDIFF WALES,BELFAST CITY (GEORGE BEST),35639,150.71403
CARDIFF WALES,BELFAST INTERNATIONAL,11546,4306.87023
CARDIFF WALES,BIGGIN HILL,47,0
CARDIFF WALES,BIRMINGHAM,0,-100
