origin_airport,destination_airport,pax_current,pax_previous,pax_growth_pct,scheduled_share,charter_share
BELFAST INTERNATIONAL,LEEDS BRADFORD,41736,30570,36.52601,,
BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),394000,414695,-4.99041,,
BELFAST INTERNATIONAL,MANCHESTER,505205,365676,38.15646,,
BELFAST INTERNATIONAL,NEWCASTLE,205878,194722,5.72919,,
BELFAST INTERNATIONAL,SOUTHAMPTON,5332,0,0,,
BENBECULA,GLASGOW,25561,24028,6.38006,,
BENBECULA,INVERNESS,3307,3242,2.00494,,
BENBECULA,SOUTHAMPTON,12,0,0,,
BENBECULA,STORNOWAY,1792,2969,-39.64298,,
BIGGIN HILL,BIRMINGHAM,52,10,420,,
BIGGIN HILL,CARDIFF WALES,47,0,0,,
BIGGIN HILL,DONCASTER SHEFFIELD,0,150,-100,,
BIGGIN HILL,DUNDEE,3,0,0,,
BIGGIN HILL,EAST MIDLANDS INTERNATIONAL,87,0,0,,
BIGGIN HILL,EXETER,81,0,0,,
BIGGIN HILL,FARNBOROUGH,4,0,0,,
BIGGIN HILL,GLASGOW,0,7,-100,,
BIGGIN HILL,HUMBERSIDE,43,69,-37.68116,,
BIGGIN HILL,LEEDS BRADFORD,0,124,-100,,
BIGGIN HILL,LIVERPOOL (JOHN LENNON),325,40,712.5,,
BIGGIN HILL,MANCHESTER,366,184,98.91304,,
BIGGIN HILL,NEWCASTLE,315,0,0,,
BIGGIN HILL,TEESSIDE INTERNATIONAL AIRPORT,0,38,-100,,
BIRMINGHAM,BOURNEMOUTH,326,44,640.90909,,
BIRMINGHAM,CARDIFF WALES,0,2,-100,,
BIRMINGHAM,CITY OF DERRY (EGLINTON),323,0,0,,
BIRMINGHAM,DUNDEE,0,31,-100,,
BIRMINGHAM,EAST MIDLANDS INTERNATIONAL,0,189,-100,,
BIRMINGHAM,EDINBURGH,214327,171501,24.97128,,
BIRMINGHAM,GLASGOW,163724,183520,-10.78684,,
